Year,Filename,Topic,Paragraph_Length,Theme,Topic Interpretation,Group
2014,doc_AY2014_001_para_0_0.txt,10,187,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_001_para_0_1.txt,1,201,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_001_para_0_2.txt,1,210,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_001_para_0_4.txt,1,226,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_001_para_0_5.txt,1,118,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_003_para_2_12.txt,10,213,Operational Readiness and Reserve Mobilization,Army Reserve and Active Component Integration,G1
2014,doc_AY2014_003_para_2_13.txt,8,51,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_003_para_2_14.txt,8,64,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_003_para_2_15.txt,8,208,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_003_para_2_16.txt,8,245,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_003_para_2_17.txt,8,127,"Strategic Command, Technology, and Multi-Domain Warfare",Additive Manufacturing Technologies,G2
2014,doc_AY2014_004_para_3_18.txt,20,90,Operational Readiness and Reserve Mobilization,Equipment Maintenance and Deployment Support,G1
2014,doc_AY2014_004_para_3_19.txt,16,123,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2014,doc_AY2014_004_para_3_20.txt,16,114,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2014,doc_AY2014_004_para_3_23.txt,16,114,Operational Readiness and Reserve Mobilization,Annual Training Requirements for Reserves,G1
2014,doc_AY2014_007_para_6_42.txt,1,123,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
2014,doc_AY2014_007_para_6_43.txt,1,168,"Strategic Command, Technology, and Multi-Domain Warfare",Unmanned Aerial Systems and Aviation Tech,G2
