Topic,Topic_Label,Rank,Filename,Combined_Score,Keyword_Overlap,TF_IDF_Similarity,Document_Preview
0,"Topic_0: command, army, commander",1,doc_AY2014_264_para_262_1873.txt,4.829080620095522,9.0375,0.36776873365174073,opportune period implement fundamental reorientation u implement parallel raf concept u army opportunity realize incorporation operational strategic mission command total u army force mission command background origin mission command trace back century attribute prussian field marshal helmuth von face challenge similar face today von moltke recognize need revolutionize command time great technological social believe superior specify mission objective constraint allocate resource leave rest skill
0,"Topic_0: command, army, commander",2,doc_AY2017_120_para_1330_9407.txt,4.778870890216683,9.047619047619047,0.311803921278023,accept prudent long operation commence commander build cohesive team mutual trust realistic train challenge leader development effort plan process commander use mission order emphasize subordinate result attain achieve mission order contain commander intent clear concise expression operation desire end state support mission command provide focus staff help subordinate support commander act achieve commander desire result without order even operation fold unplanned mutual trust mission order inte
0,"Topic_0: command, army, commander",3,doc_AY2017_273_para_1483_10503.txt,4.7340509627641,9.055555555555555,0.3201980275474431,second consider addition another phase operation allow practice active influence communication action activity third integrate information stakeholder national level every level command build vision unity effort next create effective intelligence support io plan assessment purpose lastly invest iw platform leverage latest technology technique align globally synchronize integrate across combatant command mission command io first change must occur foment successful implementation io allow concept 
0,"Topic_0: command, army, commander",4,doc_AY2014_213_para_211_1515.txt,4.728321262490885,9.055900621118013,0.3100251050144183,mission command human endeavor army doctrine describe mission command decentralize command approach wherein superior dictate intent allow subordinate formulate operational plan independently change accord emerge situation intent mission command allow soldier operate complex environment make timely decision order disrupt enemy momentum army doctrine specifically define mission command exercise authority direction commander use mission order enable discipline initiative within commander intent emp
0,"Topic_0: command, army, commander",5,doc_AY2018_199_para_1794_12605.txt,4.722455593345365,9.0703125,0.27278720149167357,leader believe mission command replace command control term synonymous grasp conceptual relationship control decentralize execution make difficult leader apply doctrine everyday leadership clarify misunderstand surround mission command lieutenant general david perkins commander combine arm center give lieutenant general david perkins commander combine arm center give presentation explain shift army leadership philosophy first explain purpose unify land operation seize retain exploit initiative g
1,"Topic_1: uas, aircraft, aviation",1,doc_AY2017_296_para_1506_10662.txt,4.218856666182075,8.059701492537313,0.3583048109957343,early stag offset aim bring swarm system integrator akin operate system like io android swarm tactic sprinter application developer together realize agent swarm together intuitive user interface element grind mature program relate offset another darpa initiative call squad recent test camp edward massachusetts demonstrate ability small drone use computer vision artificial intelligence algorithm detect discriminate target carry replica mock unarm small uas identify track human target meet certain
1,"Topic_1: uas, aircraft, aviation",2,doc_AY2018_286_para_1881_13176.txt,4.212182797415158,8.142857142857142,0.3489134927095586,give link innovate new way apply technology existence professional dedicate cause many early example aerial machine new may new creative application drone term drone universally accept name unman machine different military service use different term uas instance air force use term remotely pilot lexicon army appropriate term unman aircraft system throughout paper term uas use describe military drone unman aerial machine simply refer drone importance innovation professional key military successfu
1,"Topic_1: uas, aircraft, aviation",3,doc_AY2017_369_para_1578_11163.txt,4.183457592201849,8.048192771084338,0.21940001329024694,paper focus need army aviation continue invest resource incorporate current advance uass along integration ai maintain technological superiority uas employment combine ai technology reduce number personnel place harm way increase speed historical use uas robert bunker provide information paper august map history uas first military use uas date ww unite kingdom uk conduct early test member involve test use biplane load dynamite determine plane could ram one german zeppelin use bomb british city d
1,"Topic_1: uas, aircraft, aviation",4,doc_AY2017_313_para_1523_10790.txt,4.173642140986819,8.083333333333334,0.21274675552893882,report documentation page navy note current shipboard air platform insufficient project power future conflict near peer competitor alleviate shortfall navy make concert effort increase investment unman air system uas technology navy strategic leader must prepare naval aviation community ensure uas integrate effectively efficiently fleet current navy man pilot culture might welcome major transition may present significant resistance uas play larger role naval aviation purpose paper identify poten
1,"Topic_1: uas, aircraft, aviation",5,doc_AY2024_206_para_3419_23975.txt,3.71242043447114,7.04,0.2657518565519062,defense management framework strategic choice provide unite state army war college provide model help strategic leader process challenge balance risk force structure readiness take army recent decision cancel future attack reconnaissance aircraft fara scout helicopter design replace legacy kiowa warrior fill army aviation gap man aerial scout reconnaissance platform decision part larger reorganization army aviation program aim free resource investment particularly uas major implication future un
