Filename,Document,Topic,Document_Length
doc_AY2014_001_para_0_0.txt,report documentation page throughout course airpower relatively short history usaf use otherwise peaceful period as adjust strategic philosophy equipment combat operation afghanistan presumably draw end usaf intend reshape rebalance force divest warthog favor joint strike fighter purpose paper highlight impact divestment consider alternative maintain close air support primacy use key criterion distil historical review paper compare three potential combat air force unit ca platform usaf organize train equip successfully conduct ca arm historically find criterion service commitment culture platform capability force readiness air force acquire suitable ca replacement platform however give fiscal reality feasible alternative specifically task proportion squadron ca mission divestiture impact option maintain ca primacy lieutenant colonel matthew villella unite state air force colonel timothy brown department military strategy plan operation project adviser abstract title divestiture impact option maintain ca primacy key term close air support force relation attack throughout course airpower relatively short history usaf use war otherwise peaceful period as adjust strategic philosophy equipment combat operation afghanistan presumably draw end usaf intend reshape rebalance force divest warthog favor joint strike fighter purpose paper highlight impact divestment consider alternative maintain close air support primacy,10,187
doc_AY2014_001_para_0_1.txt,end call action patrol sky bosnia serbia warthog enable international ever precision efficiency turn millennium thunderbolt ii pilot continue receive praise worthy numerous distinguish fly cross receive operation endure iraqi freedom yet smolder fire ca value necessity would return rebecca grant director washington security forum recently state great build airborne cannon fighter today go forward need ability modern sensor really retrofit onto give fiscal environment budget control act bca air force senior leader convince divest matter accord air force official divest fleet save approximately course next five year however procurement fighter require approximately time thus many surmise former assistant secretary navy acquisition executive everett pyatt state retain fleet would cost billion would eliminate need save pentagon billion furthermore accord air force total ownership cost aftoc program data cheapest operate aircraft currently inventory conduct ca therefore divest appear provide advance technology capability mean achieve control air way vice fiscal necessity perhaps review historical document serve draw implication divest platform solely dedicate ca instruct best organize train equip service without ca history commitment culture capability train consider general air support grind force prime mission function however middle strategic think advance air defense technology increase mission begin dilute air support culture early air leader,1,201
doc_AY2014_001_para_0_2.txt,large part due longstanding belief war grind future conflict prevent primarily standoff technology weapon u army marine corp special operation force adapt hone ca plan capability last triad insist operation land domain effective achieve human outcome prerequisite achieve national objective national guard chief general frank grass sum concern ca enthusiast army guy tell close army wonder mission nevertheless usaf plan retire face budget pressure advance proliferate technology strategic call prioritize quadrennial defense review demand global power particularly advance modern air defense system give history reveal necessity commitment culture platform capability readiness provide effective ca usaf must determine alternative method organize train equip next generation successfully conduct mission history thus deem necessary word fehrenbach may fly land forever may bomb atomize pulverize wipe clean desire defend protect keep civilization must grind way roman legion put young men mud assume corporate usaf decision retire succumb political pressure paper consider three primary alternative usaf could employ maintain ca primacy without principle purpose alternative must ensure chief staff air force csaf general mark welsh state mission continue get effectively efficiently first alternative quite simply status quo utilize platform replace manner replace many unit late second air force could organize specifically task proportion unit ca finally air force could develop procure dedicate ca platform replace,1,210
doc_AY2014_001_para_0_4.txt,history date back world war ii wing pursuit group showcased phantom vietnam eagle crisis grenada panama desert storm post nomad provide arm throughout north america operation noble eagle secure two president unite state multiple space shuttle fighter wing recent culture one air superiority large part due airpower legacy airman believe control air generally control surface therefore dominant platform must emphasize expend resource support offensive counterair oca defensive counterair dca suppression embed mechanism likely disappear heritage air superiority attack phrase signify grind support culture unit command general staff college student major michael ford conduct comparative analysis platform combat performance unsurprisingly conclude fighter force consistently outperform effective conduct combat operation although quantitative ca fighter force would likewise expect outperform force however accord rebecca grant numerous others specifically design unravel integrate air defense certain sensor capability enable higher situational awareness round millimeter might consider significant liability conduct ca compare course last decade gun provide pilot ability achieve timely effect otherwise accord draft rtm ca train mission account le overall regular air force pilot annual train equivalent one ca mission every month stark contrast rtm require four time amount train sortie per pilot per year nearly two per importantly lack require train jsf equally hinder jtac train provide le ca exposure command control intelligence surveillance reconnaissance joint force writ large comparison flight event task respective rtms reveal broader impact train,1,226
doc_AY2014_001_para_0_5.txt,platform maintain culture support grind force else furthermore one seven essential condition effective ca air therefore ca platform need posse capability diminish focus mission support grind force ca capability design platform train would predominantly devote ca thus better enable readiness joint force finally procurement new ca platform could numerous ancillary benefit service nation build partner however alternative incur relatively high cost without sacrifice current air force budget feasible recommendation risk air force thoroughly invest production joint strike fighter fundamental assumption despite divestiture usaf must ca mission best alternative achieve ca primacy mean platform replace light fiscal reality current challenge start new program highly unlikely short term therefore specifically task proportion unit ca mission best alternative currently deem feasible,1,118
doc_AY2014_003_para_2_12.txt,report documentation page additive manufacture commonly refer print one many future innovation initiative army must leverage next year quest maintain adaptive agile edge adversary paper examine possible future army implementation additive manufacture ensure army depend possible title responsibility special operation force sister service others agility period conflict early entry support humanitarian relief operation paper conclude address specific aspect doctrine organization train materiel leadership education personnel facility policy recommendation need execute cohesive implementation additive manufacture usawc civilian research project additive manufacture within army ensure future agility colonel jam becker unite state army chris caplice massachusetts institute technology project adviser colonel dave dworak army war college faculty mentor abstract additive manufacture commonly refer print one many future innovation initiative army must leverage next year quest maintain adaptive agile edge adversary paper examine possible future army implementation additive manufacture ensure army depend possible title responsibility special operation force sister service others agility period conflict early entry support humanitarian relief operation paper conclude address specific aspect doctrine organization train materiel leadership education personnel facility policy recommendation need execute cohesive implementation additive manufacture additive manufacture within army ensure future agility september article lexington institute early warn blog title military must integrate forward presence crisis response expeditionary warfare mission daniel goure state forward presence prove insufficient prevent crisis occur,10,213
doc_AY2014_003_para_2_13.txt,principle provide greatest dramatic benefit use whole much research discussion within paper also touch principle manufacture complexity free traditional manufacture complicate object shape cost make printer complexity cost simplicity fabricate ornate complicate shape require time skill cost print simple block free complexity disrupt traditional price model change calculate cost manufacture thing,8,51
doc_AY2014_003_para_2_14.txt,zero skill manufacture traditional artisan train apprentice year gain skill need mass production computer guide manufacture machine diminish need skilled production however traditional manufacture machine still demand skilled expert adjust calibrate printer get guidance design file make object equal complexity printer require le operator skill injection mold machine unskilled manufacture open new business model could offer new mode production people remote environment extreme circumstance,8,64
doc_AY2014_003_para_2_15.txt,scan technology print together introduce high resolution shapeshifting physical digital world scan edit duplicate physical object create exact replica improve many principle already hold true today others come true come september paper title game changer disruptive technology defense strategy author state additive manufacture could fundamentally impact defense industrial base manufacture process writ large dramatically increase pace move prototype production enhance flexibility adaptability production line go describe litany change could address technology include small batch development major platform design adjustment base external factor environment countermeasure discus logistical implication additive manufacture forward deploy unit base ability print part available material opportunity discus use additive manufacture humanitarian assistance mission current tactical application combat operation numerous point raise article really highlight significance adaptability begin continue provide u army within army industrial base flexibility adaptability print critically require item forward deploy set would allow smaller stock repair part well ability alter make engineer correction change exist part equipment give operational need unit grind army strive make leaner lighter mobile effective force rapidly become tool leverage army help meet requirement regardless type location operation raise question industry today relation army department defense whole incorporation disruptive technology operation u army war college civilian research project colonel jon drushal discus implication army organic industrial base aoib,8,208
doc_AY2014_003_para_2_16.txt,impact three emerge technology manufacture define execute management software data file serve impetus move industry hardware base supply chain supply factor cite drive change scale location volume three factor cause supply chain become simple flexible localize additionally ibm predict change supply chain lead average save per unit effort company like ibm provide complementary technology assist rapid development exponential use across multiple industry direct application print department defense u department defense army sister service navy air force specifically show greater interest tactical forward position usage printer army rapid equip force deployment mobile expeditionary lab afghanistan july contain lab cost million dollar apiece build within standard ship container man contract engineer army soldier end prototyping machine lab gear manufacture although army maintain capability kandahar bagram airfield afghanistan deployment two three mobile lab location international security assistance force isaf regional command east regional command south afghanistan push capability furthest forward deployment lab already help provide material solution several issue likely continue throughout length usage afghanistan lab could also send execute similar mission dod support humanitarian crisis joint train scenario small scale mission maintain large repair part depot component storage unrealistic simply expensive decision army publish january memorandum secretary army joseph westphal make rapid equip force endure element several use department defense note october article title pentagon plan printer mobile lab bomb sniffer prototype limb article robert beckhusen highlight several recent time action various army dod entity regard one point article previously address paper deployment ref mobile expeditionary lab,8,245
