Topic,Count,Name,Representation,Representative_Docs
-1,614,-1_army_reserve_operation_support,"['army', 'reserve', 'operation', 'support', 'readiness', 'component', 'requirement', 'military', 'soldier', 'equipment']","['report documentation page army must rely reserve component rc operational force total army army must recognize unique challenge face rc set apart active component ac army improve exist process ensure century warfighting readiness predictability rc force army force generation model need identify operational mission early provide deployable manpower upon assignment mission facilitate maximum amount time prepare train condition result progressively build mission effective trust team across total army rc train preparation need complete army standard assistance personnel include component first army command environment rc unit prepare standard readiness ac order fill combatant command ccmd requirement predictability citizen soldier reserve component active world word abstract army must rely reserve component rc operational force total army', 'essential arng sustain appropriate readiness level provide operational capability strategic depth meet security interest implementation total force policy ensure hard lesson combat experience gain iraq afghanistan become integrate army strategic plan guidance state total force integral army strategy plan fulfill national military need one total provide operate generate force along institutional capability support national strategy policy joint force commitment worldwide guidance highlight fact force transitional stage require close examination contemporary operate environment coe underscore need integrate tailor scalable responsive force army strategic plan guidance emphasize rebalance pacific region essential plan guidance state future wait already begin prepare meet demand rebalance region emphasis build partner capacity shape security environment direct new defense strategic guidance rebalance require agile flexible adaptable force recognize advantage security cooperation partnership capacity prevent shape require win future security environment none fund authorize appropriate act otherwise make legislature concern manage associate risk involve recommend force mix report commission national guard reserve reveal congress department defense explicitly acknowledge need create operational reserve force include portion national guard reserve readily augment global mission requirement support national security find acknowledge requirement twelve year combat operation arng persist vital element army total force part army total force arng help maintain peace security nation well past year gen frank grass chief national guard bureau cngb identify top priority responsible partnership state service dod interagency provide train ready operational force support combatant commander priority gen grass communicate dod restructure must lose sight sacrifice experience gain soldier airman past twelve year conflict gen grass assert guide vision force recent strategic direction national guard nation recognize national guard indispensable resourced missioned operational force fulfil service requirement support worldwide combatant commander priority support partner abroad', 'army force generation modification since inception army refine arforgen meet demand force resource available fluctuate base institutional policy army use manage february general odierno hint change come arforgen mention future force generation model general odierno approve arforgen change april allow army make public announcement regard upcoming change association unite state army ausa sustainment symposium exposition may army regulation army force generation publish march however revise regulation yet release despite absence new regulation recent army budget strategy document news article identify three significant change way arforgen manage army change also impact regionally align force policy implementation arforgen regulation manage operate force one group progress arforgen arforgen create three group manage force progress reset available cycle mission force pool rotational force pool operational sustainment force mission force pool comprise army unit assign combatant command priority unit must maintain high level readiness unit opportunity rotate arforgen process base rotational force pool contain army unit allocate fill combatant command mission requirement apportion combatant command contingency plan require conduct rotational deployment geographic combatant command army force conduct regionally align mission manage rotational force finally operational sustainment pool include army unit assign combatant command allocate contingency operation apportion contingency army resource sustainment pool unit reduce man reduce demand unit conduct operation afghanistan allow army maintain unit level readiness base actual plan utilization second significant change army unit decision transition train fort irwin fort polk train focus train conduct last ten year unit conduct mission rehearsal exercise mres national train center ntc fort irwin joint readiness train center jrtc fort polk focus insurgency scenario preparation operation iraq action train build lesson army unit learn operate iraq afghanistan return unit focus army core competency combine arm maneuver wide area security identify army doctrine reference publication adrp unify land army ability conduct continuous simultaneous combination offensive defensive stability mission defense support civil authority task mission begin march ntc october jrtc unit rotation unit designate deploy afghanistan operation endure freedom schedule conduct fiscal year nineteen schedule combat train center rotation train shift train focus critical prepare army unit contingency response first mission like regionally align mission army unit support regionally align mission conduct focus train despite unit focus theater security cooperation activity order support contingency operation british german french army also balance budget reduction maintain unit british army adopt tiered readiness cycle know army formation operational readiness mechanism form manage british unit german french army adopt rotational readiness model similar experience iraq afghanistan recent military operation defense budget respective country view future conflict shape british german french readiness approach train resourcing military unit maintain readiness north atlantic treaty organization nato unite nation un learn important force generation lesson lead combine military operation nato synchronize unit readiness complexity country participate international security force assistance isaf afghanistan un bring troop contribute country tccs together support un approve key observation nato un british german french army force generation experience include develop strategic vision readiness management manage unit readiness accord unit assign mission conduct base readiness simulation determine future force resource requirement conduct regular force generation synchronization conference make force generation responsive operational requirement base unit army consider observation inform facilitate unit arforgen cycle plan regionally align mission regionally align force army force generation synchronization challenge opportunity implication recommendation transform arforgen every army unit feel impact regionally align force arforgen policy refinement allow army prepare manage army unit combatant command employment army force modernization proponent system manage change outline capability function impact army doctrine organization train material leadership education personnel facility dotmlpf evaluate current new capability policy procedure dotmlpf area offer army comprehensive solve method manage change synchronize solution order enhance warfighting dotmlpf analysis unique army support joint capability integration development system jcids joint doctrine joint capability area jcas analysis area twelve regionally align force arforgen policy recommendation follow area doctrine organization train regionally align force definition evolution time well army willingness modify original definition vision term would gain acceptance army broader defense community contribute policy army must clearly define regionally align force policy policy order establish common understand term reference defense community']"
0,343,0_command_army_commander_leadership,"['command', 'army', 'commander', 'leadership', 'doctrine', 'subordinate', 'operation', 'philosophy', 'initiative', 'strategic']","['create unique challenge military command authority safely support tactical operational level vanish therefore strategic leader must prepare lead without authority military leader must advocate use mission command command control approach within whole society approach state defense mission command create best condition successful proactive crisis resolution include preparation war centralize command decentralize execution shift command control leadership philosophy bring many implication relation leadership development although mission command principle remain constant across level war content focus principle shift strategic level character shift require military leader adapt new situation demonstrate desire flexibility develop apply new leader new competency examine research study provide senior leader requisite knowledge skill attribute operate lead use mission command approach philosophy also place new demand estonian professional military education pme program integrate curriculum activity ensure leader develop competency study also recognize analysis require create steady progress systemic development competency across four level higher military education include basic officer train course platoon leader advance officer train course company commander joint command general staff course battalion commander higher command study course brigade commander likewise analysis evolution mission command principle focus difference execution operational strategic level command need', 'report documentation page army mission command doctrine approach leader execute operational doctrinal task moreover mission command provide leader doctrine command control empower subordinate decentralize execution mission furthermore mission command provide principle assist leader subordinate focus purpose vision commander intent although mission command new army leader subordinate continue struggle execution mission command doctrine paper provide evolution mission command importance doctrine army gain competitive advantage additionally paper provide three shortfall army execution mission command provide three recommendation first recommendation focus army role implement mission command throughout force second recommendation propose change professional military education pme process final recommendation focus unit train challenge associate mission command garrison environment', 'army mission command philosophy since first incorporation army publication mission command concept evolve become army mission command latest doctrinal shift come result general dempsey time commander army train doctrine command perceive previous concept command control become overly focus technology lack appropriate level emphasis human element specifically centrality commander surprise general dempsey proximity implementation centric concept stimulate desire chairman joint chief staff apply across joint force roughly one year formally introduce warfighting function february change edition field manual fm understand origin mission command concept also important understand army current doctrine prescribe turn philosophy action end way mean approach use demonstrate interaction exercise mission command philosophy idealize form end execution mission command warfighting function way development philosophy principle mean capstone army manual mission command army doctrine publication adp define philosophy exercise authority direction commander use mission order enable discipline initiative within commander intent empower agile adaptive leader conduct unify land operation simply state definition guide practitioner towards dual purpose enable initiative empower leader realization result decentralize operation creation organizational culture base outcome vision end general dempsey establish relentlessly pursue order enable joint force achieve greater effectiveness increasingly complex environment expect originally envision pursuit mission command exceptionally endeavor method resource require implement concept dependent upon commander also subordinate put action consist interaction commander subordinate staff along mutually support commander staff use mission command management system integrate synchronize warfighting function unify mission command warfighting function commander balance art command science control level balance art science specifically organization fit spectrum two base number factor include level synchronization control require due nature complexity availability resource political character operation also bear level synchronization require well commander staff able foster principle mission understand commander intent discipline initiative order acceptance prudent risk provide resource commander staff exercise mission command fullest extent']"
1,322,1_uas_aircraft_aviation_unman,"['uas', 'aircraft', 'aviation', 'unman', 'drone', 'technology', 'army', 'aerial', 'pilot', 'swarm']","['report documentation page proliferation application uas technology challenge military preeminence employment uas provide significant area access denial capability uas surveillance capability promote weapon accuracy distance important strategic impact policy future employ uas capability support strategic objective support operation iraq afghanistan ten year proliferation uas technology allow potential adversary employ capability ally limit capability counter uas active defense measure especially tactical operational level warfare strategic impact joint force must establish service organization proponent counter uas uas activity category uas counter develop threat uas uav proliferation drone robotics joint issue remotely pilot vehicle strategic impact unman aircraft system employment unite state colonel matthew tedesco unite state army steven metz strategic study institute project adviser abstract title strategic impact unman aircraft system employment unite state key term uas uav proliferation drone robotics joint issue remotely pilot vehicle proliferation application uas technology challenge military preeminence', 'wind year war hop world environment would cooperate stabilize reality peace dividend world change require unite state army remain globally engage time smaller budget force structure world dangerous even though necessary military reserve certain mission man flight numerous opportunity advantage unman vertical lift aircraft unman aircraft must continue evolve develop way provide mission fulfil role combat potential unman unman rotary wing aircraft enormous potential revolutionize aviation industry capitalize technology dod must invest today optionally man fvl aircraft ability fly unman aircraft present numerous advantage reduce physical risk flight crew primary advantage danger inherent aviation operation elimination pilot aircraft also reduce demand human resource provide potential nearly continuous operation proponent remotely pilot mission also cite lack emotional hazard commonly associate man flight also argue automate flight remove human error contribute factor majority tragic aviation mission set benefit substantially unman capability area consider dull dirty mission intelligence surveillance reconnaissance isr fall dull category aircraft require remain designate location extend time aircraft control requirement fly pilot mission generally require high degree vital control input therefore usually result man isr mission could benefit extend loiter capability incapable due pilot endurance limitation associate biological crew rest requirement', 'defense management framework strategic choice provide unite state army war college provide model help strategic leader process challenge balance risk force structure readiness take army recent decision cancel future attack reconnaissance aircraft fara scout helicopter design replace legacy kiowa warrior fill army aviation gap man aerial scout reconnaissance platform decision part larger reorganization army aviation program aim free resource investment particularly uas major implication future unman operation within army two decade global war terror unite state military operate uncontested air domain enemy access advance missile could threaten high altitude fix wing aircraft dominance mean man unman aircraft could persistently operate sky high friendly force little opposition grind threat zero opposition enemy air capability massive tactical advantage free decision space grind force commander focus mission task know attack air domain negligible longer case today modern battlefield presence large number civilian drone change game aerial attack may come form small quadcopter attach camera improvise munition hover virtually undetected sight sound provide surveillance enemy force along accurate lethal may also come form kamikaze attack drone implement middle east back proxy american base vessel transit red conflict ukraine middle east prove character war constantly change army show change along sensor weapon mount unman system space become ubiquitous army make decision walk away billion fara program favor increase investment research development uas include future tactical unman aircraft system ftuas decision cancel fara program reflect acknowledgement change character aerial reconnaissance strategic shift away use man rotary wing platform primary mean execute mission thus overcome component system denial mention earlier']"
2,119,2_operation_headquarter_commander_support,"['operation', 'headquarter', 'commander', 'support', 'function', 'component', 'base', 'army', 'integrate', 'corp']","['provide theater level mission command focus combat support perform army support corp operate area relieve corp perform executive agent responsibility gcc importance function perform role ascc understate focus shape theater joa unencumbering allocate organization daily task allow headquarter capability deployable jtf joint force land component command jflcc capable headquarter response crisis commander central command centcom recently use capability designate theater army army support operation iraqi resolve however theater army contingency command post ccp limit capability design serve core jtf thirty day without significant augmentation army joint force although theater army grow size modularity concept order control army force operate across area responsibility capability use field army command multiple corp disappear army remove operational command post module build theater army longer organization train equipment function basis land component headquarter combat operation additionally main command post mobile must operate fix location finally theater level capability require major operation reserve component base continental unite state could cause significant delay require support long term contingency place significant strain army expeditionary operational headquarter capable serve core jtf', 'paper close recommend train effort prepare joint force target operation contest degrade environment highly advance adversary current process joint target cycle explain joint force look doctrine fundamental principle overarch guidance military employment service must comply joint standard publication though difference tactical level common accord joint publication jp target process select prioritize adversary object function match appropriate military process feature recur cycle depict figure joint target cycle begin joint force commander jfc nomination distribute point theater designate decision land maritime air component coordinate execute jfc designate target authority deconflicts overlap effect share resource across area operation ao component plan execute assign mission respective operation center use theater grind system architecture integrate across jp define describe mention contingency operation contest degrade environment process inherently flexible process accommodate change joint force need enable jfc delegate role different component air operation often conduct responsibility jfc normally delegate air joint force air component commander jfacc often responsible consolidate target nomination develop joint integrate prioritize target list jiptl air component interlink target process joint air task cycle figure enable air asset support target operation simultaneously multiple ao jfacc rely vital plan intelligence function within aoc facilitate process aoc serve major node air component theater focal point synchronize multiple domain primary element theater system aoc essential facilitate wide logistics support intelligence share operation ultimately target air component aoc central nervous system integrate operation span entire theater operation', 'army service component command ascc set condition successful use landpower theater usareur eucom ascc theater strategic army headquarter responsible title administration assign force force operational control addition usareur serve executive agent numerous support function meet army support service asos common user logistics cul command army force support engagement theater army commander match army capability joint requirement oversee arrival army force theater ensure soldier across area responsibility aor receive support require long corp principal headquarter employ landpower component campaign corp commander translate campaign objective broad mission grind force set condition tactical use army multinational grind force accomplish mission corp commander coordinate land force air maritime special operation force dominate land portion joint operation area corp may serve core joint task force jtf headquarter well theater army also doctrinally capable serve joint task force jtf combine joint force land component command headquarter short period time corp europe today headquarter must execute corp headquarter function outline definition set theater include posture army force conduct security cooperation activity shape operational environment prevent conflict prepare conduct unify action']"
3,90,3_guard_reserve_army_component,"['guard', 'reserve', 'army', 'component', 'militia', 'readiness', 'increase', 'general', 'federal', 'unit']","['emphasis demonstrate national defense authorization act specifically address national guard requirement personnel equipment system facility issue across department defense national defense authorization act outline cut increase capability national guard additional personnel upgrade equipment system section end strength select reserve recommend increase end strength soldier army national guard fiscal year additionally house resolution support growth army national guard end strength authorize fund national defense authorization act propose personnel increase increase would bring army national guard end strength second highest authorization request since bring national guard end strength number closer request national guard readiness sustainment planner align effort effort active component ngaus recognize value ability national guard operational force annually advocate national political arena ensure national guard remain current operational role regard preservation operational force ngaus state allow national guard regress back strategic reserve would squander decade investment train equip readiness although national guard may equip specifically perform wartime mission simultaneously organize train prepare disaster homeland decade national guard leader annually participate variety different defense support civil authority dcsa course online day course administer unite state army north', 'upon demobilization national guard begin reconstruction company regiment division result cavalry infantry national guard unite state create amendment national defense act june component identical personnel organization national guard state part army time could order active federal service president whenever congress declare national emergency thus become possible national guard give army mission without wait call issue various state enter world war ii national guard division call active duty service pacific european theater bataan guadalcanal pacific north africa italy european continent guardsman fight side side american ally partner participate separate campaign throughout theater operation first division engage offensive operation world war ii national guard americal fall secretary war approve reorganization national guard dual role organization reserve component unite state army national guard would serve mobilization day force requirement provide man train equip unit time war national emergency national guard individual state would serve state leadership preserve peace maintain public safety assist time local state emergency federal resource provide support solder pay train portion facility within two month begin korean war national guard soldier mobilize begin arrive south korea early', 'today army national guard national guard perceive poorly train poorly prepare last resort active component call upon rather today army national guard well prepare highly train guard agile adaptable combat multiplier capable provide army train ready operational force strategic depth fulfil legally mandate mission army primary combat past year persistent conflict national guard demonstrate role viable highly train force support worldwide combat humanitarian security cooperation national guard posture statement gen frank grass chief national guard bureau national guard evolve last dozen year world war ii korean war national guard role posture serve force event major war unite state soviet union nation shift toward greater reliance national guard primary fight force since time national guard soldier airman perform combat mission iraq afghanistan well mission throughout today army national guard end strength personnel reside community consist division headquarter general operational command include sustainment air missile defense operational brigade group include brigade combat team infantry armor stryker support brigade include combat aviation surveillance sustainment brigade functional support brigade group include military police engineer regional support special force group addition combat combat support force percent defense department chemical biological radiological nuclear cbrn response capability reside within national guard include civil support team cst national guard homeland response force hrfs cbrn enhance response force package cerfps today national guard harden capable combat force ready deploy support federal mission worldwide ability mission respond domestically behest leader state territory display guard true worth average guardsman per day provide support domestic mission disaster hurricane katrina sandy wildfire california blizzard shut nation capital bomb boston marathon simultaneously guardsman serve worldwide support global war state three territory district columbia men woman guard police officer plumber teacher community live stand ready make seamless transition soldier airman provide support civil authority response natural disaster threat public unlike active component whose federal mission seldom bring contact nation community national guard link community within nation service member serve operational national guard necessary impact national guard nation ability conduct military operation globally last year extraordinary']"
4,86,4_raf_alignment_division_operation,"['raf', 'alignment', 'division', 'operation', 'support', 'military', 'commander', 'region', 'fund', 'requirement']","['report documentation page army regionally align force raf concept viable approach provide train ready force combatant commander ccdrs paper examine impact raf concept movement maneuver warfighting function wff specific brigade combat team bct evidence indicate raf concept increase demand reconnaissance operation meet correspond information requirement examination raf concept current army force generation arforgen process suggest current system require adjustment support readiness management philosophy prepare force maintain higher level base readiness across force raf concept expand movement maneuver wff role deter conflict shape operational environment increase exposure region amplify expertise better enable maneuver force effectively conduct unify land operation raf concept impact movement maneuver warfighting function colonel phillip chamber unite state army colonel tarn warren department military strategy plan operation project adviser abstract title raf concept impact movement maneuver warfighting function key term reconnaissance arforgen army regionally align force raf concept viable approach provide train ready force combatant commander ccdrs', 'report documentation page research paper examine impact unite state army regional alignment force raf policy army ability generate train ready force army force generation arforgen process impact six geographic combatant command regional alignment force provide combatant command army unit prepare employment across range military operation specific geographic region world maintain army force generation process allow army prioritize resource manage readiness army operate unit support regionally align contingency mission however refine regional align force army force generation policy allow army better prepare manage army force combatant command employment twelve policy recommendation provide enhance regionally align force army force generation policy within doctrine organization train material leadership education personnel facility dotmlpf construct army force generation raf readiness train security cooperation combatant command manage globally engage army arforgen regionally align force colonel robert dawson unite state army professor robert coon department military strategy plan operation project adviser abstract title manage globally engage army arforgen regionally align force key term army force generation raf readiness train security cooperation combatant command research paper examine impact unite state army regional alignment force raf policy army ability generate train ready force army force generation arforgen process impact six geographic combatant command regional alignment force provide combatant command army unit prepare employment across range military operation specific geographic region world maintain army force generation process allow army prioritize resource manage readiness army operate unit support regionally align contingency mission', 'report documentation page army establish regionally align force raf policy way provide combatant commander ccdrs tailor globally responsive regionally engage consistently available force order fully realize potential raf maximize utility army force ccdrs army must address four issue first army must conduct effective information campaign communicate value raf internal external audience second army must establish raf unit alignment combatant command ccmds reduce raf unit rotation third army assign active component army division geographic combatant command gccs instead brigade combat team bcts fourth army must clarify raf fund responsibility change increase value raf policy army force nation national security strategy security cooperation build partner capacity global landpower network regionally align force way forward lieutenant colonel jesse pearson unite state army jam gordon department military strategy plan operation project adviser abstract army establish regionally align force raf policy way provide combatant commander ccdrs tailor globally responsive regionally engage consistently available force']"
5,78,5_logistics_logistician_management_dod,"['logistics', 'logistician', 'management', 'dod', 'dla', 'defense', 'enterprise', 'strategy', 'army', 'operation']","['organize socc command oppose agency staff enhance supply chain operation incorporate maintenance supply distribution capability strategic operational tactical level socc mission maintain visibility adjudication priority class supply allow socc direct repair activity individual repair network achieve worldwide requisition objective sustainment current operational level ensure unity command across class supply also maximize utility supply chain capability within deployment distribution enterprise structure base foundation create network within context supply chain management logistics authority empower scow commander use asset unit process disposal support warfighter set condition strategic operational success furthermore benefit single command manage af supply chain enterprise delivery improve supply chain capability creation habitual relationship national partner major command tactical unit socc option offer several benefit single harness diffuse resource system integrate across dod component achievement specific goal strategy link vision lead ready affordable logistics joint world link together creation performance measure support supply chain enterprise capability improve interoperability among information technology system supply chain function reduce perhaps eliminate improve coordination collaboration surface transportation asset aerial port port debarkation consolidation multiple storage ship activity integration repair network', 'design develop tactical logistical skill require support bct reserve component theater sustainment course design reserve component rc soldier detail multifunctional logistics function logistics emerge defense distribution management course defense logistics agency dla provide course defense distribution management provide overview department defense dod strategic level war supply distribution focus dla centric specifically asset functionality three course set prerequisite attendance include rank relevant duty assignment education level applicable course design plan logistics operational level war locate within alu cascom tradoc create operational level war logistics course army must establish foundation operational level war logistical knowledge due five primary reason current state dod supply chain today fiscally restrain environment impact operational logistics complexity dod supply chain fulfil chief staff army csa readiness directive current state dod supply chain government account office gao report title dod supply chain management as entire dod supply chain process provide contemporary topic operational logistics course study design', 'observer documentation affirm major combat operation traditionally successful even sustainment combatant command service component major operation see moderate progress address supply chain management weakness note supply chain sustainment issue budgetary constraint defense science board recommend creation single defense logistics organization increase supply chain efficiency effectiveness much lower cost propose framework envision organization rapidly integrate supply chain function balance cost however fail address importance formulate enterprise supply chain risk management strategy address component capability organization would synchronize supply chain component anticipate risk inherent supply chain comprehensive strategy would proactively mitigate risk develop contingency plan enable numerous dod af policy procedure cite need address supply chain risk balance risk total department defense manual dodm delegate af authority employ risk management strategy identify as potential supply chain disruption authority allow af develop risk management strategy mitigate vulnerability supply chain operation within outside af supply therefore maintain awareness exposure potential disruption monitor supply chain early detection disruption mitigate effect disruption three component effective af risk management note dod require risk management strategy implement much private industry one dod priority business operation integrate supply chain process determine vulnerability af supply ultimate goal supply chain management develop supply chain efficiently achieve perfect order right good right time right place proper invoice simple sound extremely complicate process many move part must function together time meet warfighters need reality many business realize lack control supply chain also understand risk function manage extremely complicate process integrate many logistics function support warfighters need evolution enable af logistician focus logistics function distribution supply maintenance retail wholesale enterprise level give complexity inherent af supply chain operation must manage integration internal external supply chain component capability retain competitive advantage']"
6,75,6_readiness_unit_train_army,"['readiness', 'unit', 'train', 'army', 'rc', 'reserve', 'resource', 'deployment', 'equipment', 'arforgen']","['sequence deployment program theater campaign plan army prioritize readiness accord deployment sequence result active unit manage high readiness reserve component clearly suggest readiness risk associate tiered readiness readiness statistic show prioritize unit maintain high level readiness others much lower readiness many case receive fraction personnel equipment train contrast current army force generation model sustain readiness model use cyclic readiness management allow every unit army guard attain full readiness deploy reset upon return cyclic cycle similar aerf unit correspond fund miss source deployment lack fund create readiness capability gap affect aerf unit preparedness achieve current expectation number fully train equip unit exceed demand army face readiness army force generation model work well period regular deployment high operational tempo mobilization approximately troop lower optempo allow dod redirect resource priority also create difficulty maintain cyclic readiness accord dod effect unit available status month revert back reset phase drop readiness cliff army desire tiered readiness return force generation model due reduction resource available sustain readiness guard unit match current future operate environment capability available army guard', 'sustainable readiness model replace legacy army force generation model create increase readiness army shorter train sustainable readiness model support predictable pattern deployment ensure parallel alignment active component mobilization instance model provide allot time accordance schedule unit expect deploy schedule also indicate theater unit provide support specific mission sustainable readiness explain army reserve consistently maintain organizational combat power prepare mobilize call upon force continue consistent state readiness enable army reserve support active army protect national security accord army chief staff general mark milley sustainable readiness model goal increase train day reserve component unit ultimately improve deployment europe middle east army reserve continue integrate model across force meet expectation sustainable readiness model additional fund support create opportunity benefit aspect program look sustainable readiness relate army reserve readiness standard show army reserve reliable force active army stress soldier family felt across force legacy tool severely stress army unit due overseas sustainable readiness model widen aperture total force utilize deployment allow reserve component enter rotation cycle available force predictable increase use army reserve soldier also increase need train day preparation mobilization ongoing mission new contingency joint write statement chief staff army act secretary army april address sustainable readiness model would meet combatant commander demand sustain readiness unit preparation next army senior leadership explain model synchronize man equip train mission assignment minimize loss increase unit proficiency additionally leader explain spite use model era budget restriction expect accelerate progress little addition army senior leader state army reserve expect incorporate system train plan ensure readiness across force meet necessary mobilization demand', 'requirement solidify abct balance compete resource train readiness proficiency train readiness army successfully generate force country since develop evolve generate force prepare ready military operation army force generation force readiness process evolve response change demand operate environment base national military strategy nm army national guard abct conduct train achieve readiness proficiency level utilize readiness model progressive predictable approach sustainable readiness model increase demand national guard support national interest increase operational tempo continually erode readiness time derive army regulation readiness model framework address readiness shortfall increase preparedness level ability fight win adversary readiness model shape preparedness reach aim point synchronize force employment modernization additionally readiness model also drive range requirement train land time build maintain proficiency however significant challenge current system remain']"
7,74,7_domain_mdo_operation_enemy,"['domain', 'mdo', 'operation', 'enemy', 'concept', 'maneuver', 'space', 'military', 'intelligence', 'battle']","['military space force achieve national military objective operate definition concept fully develop resourced framework department defense military service continue determine participate environment analysis follow examine army understand role action take compete army concept operation core concept operation force must ability engage generate effect one five domain others historically army execute operation typically compete land domain land domain remain army primary operational domain operational concept seek harness new technology generate convergence effect multiple domain onto target operation multiple domain penetrate enemy area denial system operation enable gain freedom maneuver grind force exploit freedom meet objective set condition return competition favorable grind force exploit freedom meet objective set condition return competition favorable term apply three tenet mdo calibrate force posture formation convergence', 'create strategic space cyber effect one adversary deep fire area may require plan initiate shoot level arm conflict compete environment army state must able fire maneuver across five domain penetrate layer potential adversary develop effectively contribute joint force deter adversary army must capable integrate domain warfare compete level arm conflict integration vital enable army penetrate disintegrate enemy access aera denial network arm conflict defeat army able enjoy exploit freedom maneuver defeat enemy set condition army concept rest three tenet first calibrate force posture define combination capacity capability position ability maneuver across strategic concept calibrate force posture include force expeditionary capable force increase access intelligence space cyber capability increase authority operate domain include cyber electromagnetic spectrum em human army operation specify brigade division corp formation require capability conduct independent operation several day', 'battle military answer operate effectively counter compete peer adversary conduct expect warfare century operational environment incorporate battle concept eucom solution tailor address russian threat ensure european theater joint multinational force align future vision capable deter dominate battle envision enable convergence capability create window advantage often temporary across multiple domain contest area throughout depth battlespace seize retain exploit initiative defeat enemy achieve military objective concept force must fight future contest environment peer adversary take advantage technology modernize military learn unite state fight employ asset across domain effectively counter current military strength also challenge interest objective domain battle outline contest environment demand force domain fight single complex adaptive generate opportunity create multiple dilemma adversary critic opportunity create multiple dilemma adversary critic proponent correct point idea desire effect new battle unique seek advance joint operation next level parochialism define service space longer exist desire outcome battle describe army operate affect domain conjunction service army pacific commander usarpac general robert brown put battle drive service change distinct service culture culture focus purple first mentality concept facilitate true global integration allow combatant commander achieve synergy capability effect gain dominance choose period history show concept focus evolve character war normally elicit fire response part solution ensure force retain competitive advantage ability dominate overmatch battle fire response define integration delivery lethal lethal fire across five domain electromagnetic spectrum information environment know fire essence fire synchronize integrate available joint multinational capability across domain create precisely synchronize domain superiority preserve military force freedom action enable joint multinational force maneuver admiral harry harris commander pacific command uspacom identify must bring army rest joint force together sensor fire advance help overcome operational challenge face environment admiral harris previously allude fire context much traditional cannon rocket missile capability normally associate fire include capability air maritime cyber space domain part available fire suite commander']"
8,64,8_manufacture_print_technology_produce,"['manufacture', 'print', 'technology', 'produce', 'supply', 'process', 'product', 'industry', 'dod', 'benefit']","['material jet sheet lamination process create product different attribute variety purpose one application print repair part demand thus streamline supply chain activity like anticipate need process order ship store part may end use second benefit rapid development design process engineer create design print model refine design base model repeat many time inexpensively allow low cost rapid design benefit additive manufacture additive manufacture benefit traditional manufacture approach additive manufacture use le material end item build add need material', 'industrial personal printer sell typical machine capable one form additive manufacture machine available configuration capability embed electronic mechanical function final ability integrate traditional production method unlikely additive manufacture replace traditional process time near future essential two integrate improve overall industry already produce complex machine combine additive manufacture process computer numerical control machine hybrid equipment take advantage additive subtractive complex machine use best element additive subtractive manufacture process produce precise final product basic understand additive manufacture principle capability resource require operation paper discus additive manufacture assist maintain america military technological dominance improve army unit readiness maintain technological advantage note additive manufacture four primary end use rapid prototyping rapid tool direct digital manufacture maintenance rapid prototyping rapid tool play significant role assist army ability maintain technological dominance near peer competitor additive manufacture stimulate innovation design process longer hamper limitation traditional manufacture rapid prototyping provide significant improvement conventional research development process use traditional manufacture process rapid prototyping additive manufacture design often iterative form fit functional test combination thereof traditional manufacture process produce prototype represent significant investment time cost due retool manufacture equipment small run prototype since form fit functional test typically iterative process time money associate change limit experimentation necessary maintain technological additive manufacture allow engineer quickly redesign component without wait month traditional method produce prototype reduce product development cycle key component spawn innovation maintain technological dominance defense acquisition standpoint additive manufacture would speed milestone approval industry team produce competitive prototype technology maturation risk reduction competitive prototype technology maturation risk reduction faster development cycle quicker acquisition process enable army stay ahead competitor army continue work next generation capability competitor still reverse engineer current capability design initial response', 'additive manufacture often reference print innovative technology change way industry produce variety product provide ability print part assembly well large size prototype print example unite state air force use print produce part aircraft especially hard get part age equipment like unite state marine corp also first print ammunition weapon part recently add print fully operational unman aircraft system uas drone print technology allow print function system one process mean electrical circuitry incorporate benefit find across civilian industry include lower cost small quantity speed final product customer customization strong lightweight additive manufacture provide military benefit increase effectiveness efficiency expeditionary often remote operation face global military force present many challenge additive manufacture help mitigate military benefit lower cost achieve economy scale part mean print efficient low demand item current manufacture process military also gain efficiency reduce cost produce variety part one system rather nato member could use technology manufacture many type product various quantity use manufacture printer system']"
