Interpreted Label,Description,Force Generation/Employment Focus Rank,Force Generation/Employment Focus Description,Name,Representation
Military Operations and Strategy ," Covers army operations, strategic capabilities, and warfighting.",1,Outlier (excluded),-1_army_force_military_operation,"['army', 'force', 'military', 'operation', 'state', 'leader', 'support', 'provide', 'strategic', 'capability', 'train', 'use', 'war', 'national', 'environment']"
Reserve and Readiness ," Focuses on army reserve, national guard, and operational readiness.",2,Highly relevant: Direct force gen/emp support - organizing/positioning/sustaining,6_reserve_train_unit_army,"['reserve', 'train', 'unit', 'army', 'readiness', 'force', 'guard', 'mobilization', 'national guard', 'rc', 'component', 'operational', 'army reserve', 'arng', 'active']"
Multi-Domain Operations ," Focuses on joint, multi-domain military operations and capabilities.",3,Highly relevant: Direct force gen/emp support -concepts/command/tech,35_domain_multi domain_multi_joint,"['domain', 'multi domain', 'multi', 'joint', 'concept', 'force', 'army', 'mdo', 'domain operation', 'joint force', 'operation', 'target', 'capability', 'theater', 'battle']"
Mission Command , Emphasizes leadership philosophy and decentralized command in military operations.,4,Highly relevant: Direct force gen/emp support -concepts/command/tech,28_mission command_command_mission_leader,"['mission command', 'command', 'mission', 'leader', 'commander', 'army', 'trust', 'philosophy', 'subordinate', 'doctrine', 'understand', 'initiative', 'leadership', 'intent', 'control']"
Aviation and Unmanned Systems," Centers on army aviation, drones and unmanned aircraft capabilities.",5,Highly relevant: Direct force gen/emp support -concepts/command/tech,21_uas_aircraft_aviation_air,"['uas', 'aircraft', 'aviation', 'air', 'unman', 'drone', 'capability', 'force', 'man', 'army aviation', 'army', 'uh', 'maintenance', 'swarm', 'fleet']"
Logistics and Sustainment ," Addresses supply chain, maintenance, and logistical support for military operations.",6,Highly relevant: Direct force gen/emp support - organizing/positioning/sustaining,39_logistics_supply_supply chain_chain,"['logistics', 'supply', 'supply chain', 'chain', 'maintenance', 'support', 'sustainment', 'army', 'distribution', 'repair', 'logistician', 'management', 'logistics officer', 'provide', 'dla']"
Regionally Aligned Forces , Involves joint task forces and regionally aligned military operations.,7,Highly relevant: Direct force gen/emp support - organizing/positioning/sustaining,38_raf_force_jtf_joint,"['raf', 'force', 'jtf', 'joint', 'command', 'regionally', 'align', 'headquarter', 'regionally align', 'army', 'align force', 'division', 'mission', 'combatant', 'operation']"
Cyber Warfare ," Focuses on cybersecurity, cyberspace operations, and information threats.",8,Moderately relevant: Can support force gen/emp but not critical,4_cyber_cyberspace_attack_network,"['cyber', 'cyberspace', 'attack', 'network', 'information', 'cybersecurity', 'state', 'operation', 'infrastructure', 'dod', 'domain', 'national', 'threat', 'critical infrastructure', 'defense']"
Nuclear Deterrence ," Addresses nuclear weapons, missile defense, and strategic deterrence.",9,Moderately relevant: Can support force gen/emp but not critical,13_nuclear_missile_deterrence_weapon,"['nuclear', 'missile', 'deterrence', 'weapon', 'nuclear weapon', 'missile defense', 'defense', 'ballistic', 'hypersonic', 'ballistic missile', 'capability', 'state', 'adversary', 'unite', 'unite state']"
Space Operations ," Involves space domain, satellites, and space force capabilities.",10,Moderately relevant: Can support force gen/emp but not critical,24_space_satellite_space force_domain,"['space', 'satellite', 'space force', 'domain', 'space domain', 'orbit', 'capability', 'debris', 'gps', 'commercial', 'force', 'norm', 'earth', 'air', 'use']"
Marine and Naval Operations ," Covers marine corps, navy, and amphibious operations.",11,Moderately relevant: Can support force gen/emp but not critical,17_marine_navy_ship_amphibious,"['marine', 'navy', 'ship', 'amphibious', 'marine corp', 'force', 'corp', 'pacific', 'operation', 'capability', 'fleet', 'joint', 'vessel', 'land', 'naval']"
Artificial Intelligence in Warfare ," Focuses on AI, autonomous weapons, and decision-making technologies",12,Moderately relevant: Can support force gen/emp but not critical,8_ai_human_machine_autonomous,"['ai', 'human', 'machine', 'autonomous', 'decision', 'artificial', 'data', 'technology', 'artificial intelligence', 'intelligence', 'weapon', 'learn', 'autonomous weapon', 'use', 'algorithm']"
Defense Acquisition ," Involves defense programs, technology acquisition, and industry contracts.",13,Moderately relevant: Can support force gen/emp but not critical,19_acquisition_program_defense_process,"['acquisition', 'program', 'defense', 'process', 'technology', 'dod', 'cost', 'requirement', 'contract', 'army', 'industrial', 'capability', 'acquisition process', 'defense acquisition', 'industry']"
Leadership Development ," Focuses on officer training, talent management, and leadership strategies.",14,Moderately relevant: Can support force gen/emp but not critical,1_leader_officer_army_talent,"['leader', 'officer', 'army', 'talent', 'development', 'leadership', 'management', 'senior', 'talent management', 'career', 'strategic', 'assignment', 'leader development', 'develop', 'level']"
Military Healthcare ," Addresses medical care, veteran services, and health readiness.",15,Moderately relevant: Can support force gen/emp but not critical,9_medical_health_care_va,"['medical', 'health', 'care', 'va', 'veteran', 'patient', 'service', 'healthcare', 'health care', 'medicine', 'hospital', 'surgeon', 'army', 'military', 'readiness']"
Disaster Response ," Involves national guard, emergency response, and disaster support.",16,Moderately relevant: Can support force gen/emp but not critical,15_disaster_response_dsca_emergency,"['disaster', 'response', 'dsca', 'emergency', 'federal', 'state', 'guard', 'national', 'national guard', 'support', 'hurricane', 'dod', 'authority', 'incident', 'disaster response']"
Military Recruitment ," Covers army recruitment, volunteer forces, and military service.",17,Moderately relevant: Can support force gen/emp but not critical,12_recruit_military_army_volunteer,"['recruit', 'military', 'army', 'volunteer', 'service', 'volunteer force', 'avf', 'serve', 'draft', 'force', 'american', 'veteran', 'military service', 'recruitment', 'war']"
Mental Health and Resilience ," Centers on soldier mental health, suicide prevention, and resilience.",18,Moderately relevant: Can support force gen/emp but not critical,25_suicide_health_program_mental,"['suicide', 'health', 'program', 'mental', 'soldier', 'mental health', 'resilience', 'prevention', 'suicide prevention', 'ptsd', 'stress', 'service', 'army', 'mindfulness', 'train']"
Physical Fitness and Wellness ," Focuses on soldier fitness, health programs, and physical readiness.",19,Moderately relevant: Can support force gen/emp but not critical,33_health_fitness_physical_sleep,"['health', 'fitness', 'physical', 'sleep', 'obesity', 'program', 'soldier', 'food', 'healthy', 'injury', 'wellness', 'physical fitness', 'weight', 'army', 'body']"
Installation Management ," Focuses on military facilities, infrastructure, and base operations.",20,Moderately relevant: Can support force gen/emp but not critical,26_installation_contract_facility_rail,"['installation', 'contract', 'facility', 'rail', 'army', 'ocs', 'construction', 'support', 'brac', 'infrastructure', 'dod', 'fund', 'installation management', 'management', 'service']"
