Filename,Document_Length,Nearest_Topic,Similarity_to_Nearest,Document_Preview
doc_AY2014_007_para_6_46.txt,162,10,0.665282,fact official pakistani number le half estimate give independent organization government increase percentage military force contain guard reserve effort increase tie society military address disconnec
doc_AY2014_061_para_60_426.txt,109,7,0.6604483,aviation true enable capability within doctrine example air force operate tactical helicopter combat search rescue csar traditionally support recovery aircrew sustain air domain likewise army attack a
doc_AY2014_090_para_89_651.txt,109,5,0.67057896,centralize distribution model enable amcom realize economy scale greater investment modern operate process efficiency unavailable current model operate multiple small ssa reduce number ssa reduce over
doc_AY2014_141_para_140_1002.txt,121,15,0.7001696,within alone least seven office exist three office exist within responsible various aspect cwmd ssp strategic plan odo operation contingency plan coordinate support current cwmd operation domestically
doc_AY2014_268_para_266_1908.txt,155,16,0.6567402,chart offer insight senior leader investigate area might cause negative wide variance performance reflect maintenance system control state earlier fix root cause performance like part man train decrea
doc_AY2014_268_para_266_1910.txt,116,16,0.58366823,standard create three variation control chart use instead specification approach portray fmc rate data senior leader first variation would standard control chart mean well first second third standard 
doc_AY2014_342_para_340_2435.txt,137,10,0.60005975,example combine healthcare cost ac service member per year comparison rc service member cost active duty per year annually approximately ten time le active september former secdef panetta direct rfpb 
doc_AY2015_065_para_449_3180.txt,27,2,0.5958607,need permanent presence exist relationship good enough part organization important mission time spend work area proportional importance organization send lno organization would like sit would organiza
doc_AY2015_156_para_540_3842.txt,133,16,0.6225261,refer concept rc math one year rc example joint qualification system provide fair yet unequal method obtain joint qualification rc system require six year minimum sixty six day duty perform see table 
doc_AY2016_031_para_854_6066.txt,110,18,0.6563095,division headquarter include national guard soldier five army reserve airborne division headquarter convert unit division headquarter june airborne division hold patch ceremony soldier wisconsin utah 
doc_AY2016_119_para_942_6676.txt,95,15,0.635582,report documentation page field artillery arguably lethal combat arm know king battle world war world war ii field artillery single highest weapon system battlefield fire support officer prove value u
doc_AY2016_150_para_972_6915.txt,134,7,0.7009766,yet reactive approach crisis resolution continue implement approach may lead strategic failure devastate iran hostage rescue avoidable situation dod sit idly continue transfer burden operational risk 
doc_AY2016_150_para_972_6917.txt,136,2,0.69504625,synchronize employment three would provide swift lethal approach forcible entry would enhance operational would also give commander latitude respond multiple smaller scale crisis simultaneously across
doc_AY2016_348_para_1170_8289.txt,95,13,0.6590346,take government transportation ait spend graduation day family friend post ship ait next morning bond family friend temporarily break seizure electronic device minimal phone call cellular phone device
doc_AY2017_018_para_1228_8674.txt,73,15,0.6844945,additionally team capability operate unman grind aerial maritime vehicle combination new equipment combine arm personnel enable team meet requirement outline battle concept first requirement small dis
doc_AY2017_212_para_1422_10087.txt,94,16,0.666462,alternative option propose merger could identify whole unit would transfer intact one component retain personnel people valuable asset army merger could occur little negative effect whole unit move us
doc_AY2018_208_para_1803_12661.txt,157,7,0.6795964,first two step jipoe process charge commander define operate environment also impact environment place theater operation component understand reside space operate familiarity space ensure commander re
doc_AY2018_230_para_1825_12809.txt,119,13,0.6595922,many argue split opposite effect reduce ca capability dramatic perhaps greatest struggle regard train active duty ca component john kennedy special warfare center school swc currently fall usasoc army
doc_AY2018_238_para_1833_12861.txt,44,9,0.6332819,move centralize location continental provide rapidly deployable headquarter capable respond event east west coast eventually redesign dcrf two regional force ensure capable ready response force respon
doc_AY2019_061_para_1960_13747.txt,155,0,0.64930874,collection platform like dragon lady global hawk reaper command significant personnel require turn collection data meaningful intelligence since air force overall isr budget command nearly annually af
doc_AY2019_229_para_2128_14917.txt,109,1,0.6428925,u rely system forward base rapid power projection protect u interest globally current u forward base consist spectrum contain permanent base design house large u military unit base small number u forc
doc_AY2019_229_para_2128_14918.txt,79,4,0.55623317,first austere airfield require extend timeline establish operational capability second austere airfield lack critical infrastructure communication future operation require hybrid approach maximize adv
doc_AY2019_229_para_2128_14921.txt,86,1,0.66188097,failure area increase enemy capability detect u force movement render concept concept dependence austere airfield also problematic location le protect take longer recover enemy attack politically sens
doc_AY2019_235_para_2134_14960.txt,158,19,0.70883876,artilleryman serve interchangeably foot artillery coastal artillery later describe pernicious practice process consolidate train artillerists would serve one impassioned argument eventual branch echo 
doc_AY2019_306_para_2205_15428.txt,128,19,0.68187684,chronicle rise fall sof budget regard political sponsorship president kennedy strong sof advocate office sof experience budget boom sof lack sponsor white house experience budget decrease congressman 
